path	duration	peak	rms
Assets/_Project/AudioEffects/BossTheme(пока рано)/Cryo Mutant Siege.mp3	124.968	0.0000	0.0000
Assets/_Project/AudioEffects/BossTheme(пока рано)/Red Zone Requiem.mp3	158.376	0.0000	0.0000
Assets/_Project/AudioEffects/BossTheme(пока рано)/Red Zone Requiem_2.mp3	224.328	0.0000	0.0000
Assets/_Project/AudioEffects/crit.mp3	0.418	1.0000	0.1521
Assets/_Project/AudioEffects/dragon-studio-zombie-scream-324752.mp3	8.098	0.7876	0.1166
Assets/_Project/AudioEffects/GunShoot.wav	0.448	0.8698	0.1938
Assets/_Project/AudioEffects/Laser_bullet.mp3	1.254	0.5703	0.1203
Assets/_Project/AudioEffects/Level_1/Blue Ruin Path.mp3	197.784	0.0000	0.0000
Assets/_Project/AudioEffects/MainTheme/Below the Ruins.mp3	201.288	0.0000	0.0000
Assets/_Project/AudioEffects/MainTheme/Beneath the Ash Soil.mp3	209.568	0.0000	0.0000
Assets/_Project/AudioEffects/MainTheme/Beneath the Ash Soil_2.mp3	198.624	0.0000	0.0000
Assets/_Project/AudioEffects/MainTheme/Bunker Menu Loop.mp3	134.448	0.0000	0.0000
Assets/_Project/AudioEffects/MainTheme/Frozen Ruins.mp3	219.744	0.0000	0.0000
Assets/_Project/AudioEffects/new/6d91dda56e9b0c1.mp3	3.004	0.1685	0.0248
Assets/_Project/AudioEffects/new/8c2d2bfc9fe0c1d.mp3	30.537	0.0000	0.0000
Assets/_Project/AudioEffects/new/875b8bd01943cfc.mp3	0.366	0.4874	0.0945
Assets/_Project/AudioEffects/new/88220d21b812cca.mp3	0.287	0.2954	0.0390
Assets/_Project/AudioEffects/new/e0bdf44775a0d80.mp3	1.384	0.5062	0.0525
Assets/_Project/AudioEffects/new/eac678556f1275c.mp3	0.209	0.5849	0.1138
Assets/_Project/AudioEffects/new/Level_up_test.mp3	1.848	0.3408	0.0318
Assets/_Project/AudioEffects/packs/kenney_impact-sounds/footstep_carpet_000.mp3	0.235	0.8179	0.0523
Assets/_Project/AudioEffects/packs/kenney_impact-sounds/footstep_carpet_001.mp3	0.235	0.8812	0.0781
Assets/_Project/AudioEffects/packs/kenney_impact-sounds/footstep_carpet_002.mp3	0.235	0.8812	0.0781
Assets/_Project/AudioEffects/packs/kenney_impact-sounds/footstep_carpet_003.mp3	0.235	0.8332	0.0532
Assets/_Project/AudioEffects/packs/kenney_impact-sounds/footstep_carpet_004.mp3	0.235	0.8332	0.0532
Assets/_Project/AudioEffects/packs/kenney_impact-sounds/footstep_concrete_000.mp3	0.183	0.8445	0.0644
Assets/_Project/AudioEffects/packs/kenney_impact-sounds/footstep_concrete_001.mp3	0.183	0.8343	0.0553
Assets/_Project/AudioEffects/packs/kenney_impact-sounds/footstep_concrete_002.mp3	0.209	0.8133	0.0497
Assets/_Project/AudioEffects/packs/kenney_impact-sounds/footstep_concrete_003.mp3	0.183	0.8279	0.0598
Assets/_Project/AudioEffects/packs/kenney_impact-sounds/footstep_concrete_004.mp3	0.209	0.8561	0.0610
Assets/_Project/AudioEffects/packs/kenney_impact-sounds/footstep_grass_000.mp3	0.836	0.8296	0.0291
