Character at (32.14, -9.00) overlaps Blocker
Character at (32.34, -9.00) overlaps Blocker
Character at (32.54, -9.00) overlaps Blocker
Character at (32.74, -9.00) overlaps Blocker
Character at (32.94, -9.00) overlaps Blocker
Character at (33.13, -9.00) overlaps Blocker
Character at (33.33, -9.00) overlaps Blocker
Character at (33.53, -9.00) overlaps Blocker
Character at (33.73, -9.00) overlaps Blocker
Station legend at (NaN, NaN) overlaps p_flask1 (5)
Station legend at (NaN, NaN) overlaps p_flask1 (4)
Station legend at (NaN, NaN) overlaps p_flask1 (2)
Station legend at (NaN, NaN) overlaps p_flask1 (1)
Station legend at (NaN, NaN) overlaps GoalPost
Station legend at (NaN, NaN) overlaps TilemapZoneShop
Station legend at (NaN, NaN) overlaps TilemapZoneOther
Station legend at (NaN, NaN) overlaps Door
Station legend at (NaN, NaN) overlaps TilemapZoneAnomalys
Station legend at (NaN, NaN) overlaps fenceP1 (1)
Station legend at (NaN, NaN) overlaps fenceP1 (2)
Station legend at (NaN, NaN) overlaps fenceP1 (3)
Station legend at (NaN, NaN) overlaps p_Capsule1 (3)
Station legend at (NaN, NaN) overlaps p_Capsule1 (2)
Station legend at (NaN, NaN) overlaps Right
Station legend at (NaN, NaN) overlaps Top
Station legend at (NaN, NaN) overlaps BottomLeft
Station legend at (NaN, NaN) overlaps EntryLeft
Station legend at (NaN, NaN) overlaps BottomRight
Station legend at (NaN, NaN) overlaps EntryRight
Station legend at (NaN, NaN) overlaps Player Boundary
Station legend at (NaN, NaN) overlaps Left
Station legend at (NaN, NaN) overlaps p_Ventilation
Station legend at (NaN, NaN) overlaps fenceP1
Station legend at (NaN, NaN) overlaps fenceP1 (4)
Station legend at (NaN, NaN) overlaps Door (1)
Station legend at (NaN, NaN) overlaps Blocker
Station legend at (NaN, NaN) overlaps p_Capsule1 (4)
Station legend at (NaN, NaN) overlaps p_flask2 (1)
Station legend at (NaN, NaN) overlaps p_flask1 (3)
Station legend at (NaN, NaN) overlaps p_Shelf1 (1)
Station legend at (NaN, NaN) overlaps p_flask2 Variant (1)
Station legend at (NaN, NaN) overlaps p_flask2 Variant 1 (1)
Station legend at (NaN, NaN) overlaps p_AnomalyTable1
Station legend at (NaN, NaN) overlaps p_flask1
Station legend at (NaN, NaN) overlaps p_flask2
Station legend at (NaN, NaN) overlaps Tilemap2
Station legend at (NaN, NaN) overlaps p_flask2 Variant
Station legend at (NaN, NaN) overlaps p_flask2 Variant 1
Station legend at (NaN, NaN) overlaps p_Shelf1
Station legend at (NaN, NaN) overlaps TilemapMirrorOutline
Station legend at (NaN, NaN) overlaps p_Capsule1 (5)
Station legend at (NaN, NaN) overlaps p_Capsule2
Station legend at (NaN, NaN) overlaps p_Capsule1
Station legend at (NaN, NaN) overlaps p_Ventilation (1)
Station legend at (NaN, NaN) overlaps p_Capsule1 (5) Variant
Station legend at (NaN, NaN) overlaps p_Terminal2 (1) Variant
Station legend at (NaN, NaN) overlaps p_Capsule1 (5) Variant (1)
Station legend at (NaN, NaN) overlaps TilemapZoneUpgrades
Station legend at (NaN, NaN) overlaps p_Capsule1 (5) Variant (2)
Station legend at (NaN, NaN) overlaps collider
Station legend at (NaN, NaN) overlaps GoalBack
RunGate at (57.80, -9.60) overlaps Tilemap2
RunGate at (58.00, -9.60) overlaps Tilemap2
RunGate at (58.20, -9.60) overlaps Tilemap2
RunGate at (58.40, -9.60) overlaps Tilemap2
RunGate at (58.60, -9.60) overlaps Tilemap2
RunGate at (58.80, -9.60) overlaps Tilemap2
RunGate at (59.00, -9.60) overlaps Tilemap2
RunGate at (59.20, -9.60) overlaps Tilemap2
RunGate at (59.40, -9.60) overlaps Tilemap2
RunGate at (59.60, -9.60) overlaps Tilemap2
RunGate at (59.80, -9.60) overlaps Tilemap2
RunGate at (60.00, -9.60) overlaps Tilemap2
RunGate at (60.20, -9.60) overlaps Tilemap2
RunGate at (60.40, -9.60) overlaps Tilemap2
RunGate at (60.60, -9.60) overlaps Tilemap2
RunGate at (60.80, -9.60) overlaps Tilemap2
RunGate at (60.93, -9.47) overlaps Tilemap2
RunGate at (61.07, -9.33) overlaps Tilemap2
RunGate at (61.20, -9.20) overlaps Tilemap2
RunGate at (61.33, -9.07) overlaps Tilemap2
RunGate at (61.47, -8.93) overlaps Tilemap2
RunGate at (61.60, -8.80) overlaps Tilemap2
RunGate at (61.60, -8.62) overlaps Tilemap2
RunGate at (61.60, -8.44) overlaps Tilemap2
RunGate at (61.60, -8.26) overlaps Tilemap2
RunGate at (61.60, -8.08) overlaps Tilemap2
RunGate at (61.60, -7.90) overlaps Tilemap2
RunGate at (61.60, -7.72) overlaps Tilemap2
RunGate at (61.60, -7.54) overlaps Tilemap2
RunGate at (61.60, -7.36) overlaps Tilemap2
RunGate at (61.60, -7.18) overlaps Tilemap2
RunGate at (61.60, -7.00) overlaps Tilemap2
RunGate at (61.73, -6.87) overlaps Tilemap2
RunGate at (61.87, -6.73) overlaps Tilemap2
RunGate at (62.00, -6.60) overlaps Tilemap2
RunGate at (62.13, -6.47) overlaps Tilemap2
